GarageArea,GrLivArea,KitchenQual,OverallQual,TotalBsmtSF
461,1088,Gd,8,1074
384,1136,TA,6,1136
576,1632,TA,5,1632
520,1640,Gd,6,798
336,864,TA,5,864
550,1710,Gd,7,1710
603,1768,Gd,7,866
484,1040,Gd,5,1040
673,1728,Gd,6,864
240,1082,TA,6,1082
336,1771,TA,5,0
504,1004,TA,6,975
244,1268,TA,5,1268
308,882,TA,5,0
180,1513,TA,5,939
576,1040,Gd,5,1040
240,1660,TA,6,715
531,1872,Ex,8,1299
539,1902,TA,6,0
480,1428,Gd,7,1428
641,2945,Gd,10,1410
392,827,TA,5,0
264,923,TA,6,923
576,1287,Gd,5,1063
240,1639,TA,6,1064
